Expired Flow,duration,tl_pkts, tl_bytes, pkts/s, bytes/s,avg , min, max, stddev,tot_fw_pk,tot_bw_pk,fw_pkt_l_avg, fw_pkt_l_min, fw_pkt_l_max, fw_pkt_l_std, bw_pkt_l_avg, bw_pkt_l_min, bw_pkt_l_max, bw_pkt_l_stddev, fw_pkt_s, bw_pkt_s, fl_iat_avg, fl_iat_std, fl_iat_min,fl_iat_max,fw_iat_tot, fw_iat_avg, fw_iat_std, fw_iat_min, fw_iat_max,bw_iat_tot, bw_iat_avg, bw_iat_std, bw_iat_min, bw_iat_max
192.168.1.2:50546→114.67.251.143:50602,120.000417,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000104.25,29980690.25, 18990.00, 59980898.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000158,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142879.71,27052457.34, 18110.00, 59921550.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.195221,21,2512,0.17,20.73,2020.95,32,2512,520.19,11,10,1894.55, 32, 2480,  655.72, 1912.00, 32, 2448, 661.30,171.95, 0.00 ,  6059761.05,7087750.77, 0.00, 15117045.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.019702,20,468,0.17,3.90,297.90,6,468,145.56,11,9,259.09, 6, 456,  155.09, 294.00, 6, 462, 148.59,23.75, 0.00 ,  6316826.42,8434407.62, 516.00, 19979629.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000487,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142926.71,27033458.00, 18017.00, 59891271.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000451,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000112.75,29981060.75, 18691.00, 59981441.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.044820,18,1136,0.15,9.38,708.44,32,1136,393.94,9,9,661.33, 32, 1104,  410.70, 632.89, 32, 1072, 405.34,49.17, 0.00 ,  7120283.53,7505729.90, 23466.00, 15116054.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059170,19,636,0.16,5.30,334.74,180,636,132.60,11,8,305.45, 180, 456,  116.83, 318.00, 186, 450, 114.79,27.99, 0.00 ,  6669953.89,8553564.02, 0.00, 19980925.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000482,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142926.00,27023890.92, 18452.00, 59871547.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.001920,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000480.00,29980824.50, 19516.00, 59981919.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.094694,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8072979.60,7528628.60, 23295.00, 15116044.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.057565,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062209.71,8650048.96, 40.00, 19979607.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.001147,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17143021.00,27011014.58, 17989.00, 59852266.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.011682,18,704,0.15,5.82,410.67,32,704,200.20,9,9,387.56, 32, 672,  207.08, 359.11, 32, 640, 201.13,28.82, 0.00 ,  7118334.24,7411916.99, 23376.00, 15116765.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,242.164580,6,192,0.02,0.79,112.00,32,192,54.65,3,3,96.00, 32, 160,  52.26, 74.67, 32, 128, 39.91,1.19, 0.00 ,  48432916.00,82004123.56, 23677.00, 211884674.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,300.148034,16,444,0.05,1.48,148.88,6,444,130.98,9,7,123.33, 6, 264,  110.67, 119.14, 6, 258, 110.51,3.70, 0.00 ,  20009868.93,52919705.92, 0.00, 215717957.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,299.839269,2,237,0.01,0.79,121.50,6,237,115.50,1,1,6.00, 6, 6,  0.00, 6.00, 6, 6, 0.00,0.02, 0.00 ,  299839269.00,2.65, 299839269.00, 299839269.00,  0.00,0.00, 0.00, 0.00,  0.00, 0.00,0.00, 0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,360.000417,5,30,0.01,0.08,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.12, 0.00 ,  90000104.25,123679651.57, 18696.00, 299981692.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.094989,18,1136,0.15,9.38,584.00,32,1136,431.98,9,9,536.89, 32, 1104,  429.40, 508.44, 32, 1072, 425.32,39.90, 0.00 ,  7123234.65,7110862.20, 23670.00, 15116485.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.058189,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062246.41,8680864.26, 561.00, 19979471.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.191020,13,954,0.11,7.94,525.62,6,954,345.24,6,7,508.83, 6, 948,  317.38, 404.57, 6, 942, 363.97,25.40, 0.00 ,  10015918.33,21080477.92, 18292.00, 59771341.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000608,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000152.00,29980944.00, 19197.00, 59981294.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.155066,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.90, 0.00 ,  8077004.40,7524926.81, 23270.00, 15116494.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.058832,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062284.24,8689520.47, 254.00, 19988863.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000022,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142860.29,26951425.24, 18530.00, 59761624.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.019367,6,36,0.05,0.30,21.00,6,36,10.25,3,3,14.00, 6, 24,  7.48, 18.00, 6, 30, 9.80,0.35, 0.00 ,  24003873.40,29374998.37, 19146.00, 59980862.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.075570,18,704,0.15,5.81,382.22,32,704,221.31,9,9,359.11, 32, 672,  222.61, 330.67, 32, 640, 217.56,26.69, 0.00 ,  7122092.35,7438224.18, 23333.00, 15116662.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059640,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062331.76,8690613.39, 1458.00, 19979869.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000914,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142987.71,26945356.60, 18153.00, 59752166.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.058105,22,3137,0.18,26.13,734.09,6,3137,1118.04,13,9,689.54, 6, 2957,  1051.30, 450.56, 6, 2951, 890.64,74.66, 0.00 ,  5717052.62,8064006.96, 0.00, 19979334.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.095503,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8073033.53,7529168.12, 22973.00, 15117028.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.001493,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17143070.43,26929631.27, 18014.00, 59722615.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000239,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000059.75,29980876.25, 19114.00, 59981022.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059135,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062302.06,8717239.82, 0.00, 19979540.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.098443,19,2320,0.16,19.16,1923.79,32,2320,490.58,10,9,1797.60, 32, 2288,  631.73, 1809.78, 32, 2256, 643.57,148.44, 0.00 ,  6727691.28,7263760.44, 0.00, 15118896.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000578,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142939.71,26916861.01, 18436.00, 59711936.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.001023,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000255.75,29980830.75, 19357.00, 59981444.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059343,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062314.29,8727143.55, 1279.00, 19979708.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.044976,20,1328,0.17,10.97,653.60,32,1328,440.57,10,10,603.20, 32, 1296,  433.66, 574.40, 32, 1264, 429.53,49.83, 0.00 ,  6370788.21,7026179.14, 23675.00, 15116151.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
